species,growth_form,plant_height_m,seed_length_mm
Miconia_suberosa,tree,5.5,2.5
Miconia_macuxi,shrub,2.25,0.85
Boyania_colombiana,herb,0.15,0.4
Meriania_aguaditensis,tree,11,0.9
Meriania_brachycera,tree,11.5,1.6
Meriania_mutisii,tree,12.5,1.5
Meriania_silverstonei,tree,19,2.3
Meriania_barbosae,tree,6,2.65
Meriania_fantastica,tree,20,1.85
Microlicia_colombiana,shrub,1.3,0.6
Tococa_broadwayi,shrub,2,0.65
Tococa_caquetana,shrub,1.5,0.55
Tococa_carolensis,shrub,1.25,0.6
Tococa_caryophyllaea,climber,3,0.9
Tococa_croatii,shrub,1,0.55
Tococa_desiliens,shrub,3,0.9
Tococa_gonoptera,shrub,2.5,1.05
Tococa_lancifolia,shrub,3,1.75
Tococa_macroptera,shrub,2,0.9
Tococa_parviflora,shrub,2,0.55
Tococa_nitens,shrub,3.75,1.1
Tococa_meridensis,shrub,1,0.65
Tococa_pachystachya,shrub,1.75,1
Tococa_perclara,shrub,2,0.65
Tococa_platyphylla,shrub,2,0.65
Tococa_rotundifolia,shrub,2.6,1.05
Tococa_oligantha,shrub,1.5,1.1
Tococa_spadiciflora,shrub,3,0.35
Tococa_stephanotricha,shrub,2.75,1.05
Tococa_subciliata,shrub,3.5,2.05
Tococa_symphyandra,shrub,1.5,0.55
Tococa_aristata,shrub,1.75,0.95
Tococa_obovata,shrub,1.15,1
Tococa_ciliata,shrub,2.25,1.4
Tococa_cinnamomea,shrub,3,0.9
Tococa_cordata,shrub,2.5,2.5
Tococa_hirta,shrub,1.75,1
Tococa_racemifera,shrub,2.5,0.4
Miconia_longidentata,shrub,2,0.65
Mouriri_acutiflora,tree,17,11.75
Mouriri_angulicosta,tree,30,6.9
Mouriri_barinensis,tree,35,15.15
Mouriri_cearensis,tree,12,11.6
Mouriri_chamissoana,tree,15,8.1
Mouriri_collocarpa,tree,30,17.95
Mouriri_crassifolia,tree,20,8.25
Mouriri_cyphocarpa,tree,7,10.7
Mouriri_densifoliata,tree,11,5.75
Mouriri_duckeana,tree,30,9.65
Mouriri_eugeniifolia,tree,15,10.9
Mouriri_ficoides,tree,35,10.5
Mouriri_glazioviana,tree,10,11.45
Mouriri_huberi,tree,30,16
Mouriri_longifolia,tree,10,12.75
Mouriri_muelleri,tree,4,9
Mouriri_pachyphylla,tree,0.15,11.5
Mouriri_pseudogeminata,tree,20,17.3
Mouriri_subumbellata,tree,25,6.4
Mouriri_torquata,tree,20,6.5
Mouriri_trunciflora,tree,11,14.4
Mouriri_uncitheca,shrub,2,6.05
Mouriri_crassisepala,tree,12,15.25
Miconia_glandulipetala,shrub,0.65,0.28
Pleroma_ferricola,shrub,0.3,0.5
Trembleya_acuminata,shrub,1.4,1
Osbeckia_nayarii,shrub,1.25,0.15
Leandra_cristata,shrub,3,0.85
Leandra_fontanae,shrub,0.5,0.8
Leandra_capilliflora,shrub,1,0.65
Leandra_angustifolia,shrub,2,0.8
Leandra_hirta,shrub,1.5,0.8
Leandra_umbellata,shrub,2,0.9
Leandra_loligomorpha,tree,3,0.75
Leandra_glazioviana,shrub,1.25,1.15
Leandra_triantha,shrub,1.5,0.8
Leandra_ulaei,shrub,0.4,1
Sandemania_hoehnei,shrub,1.5,0.85
Miconia_angelana,tree,2,1.45
Microlicia_obtusifolia,shrub,0.55,0.65
Microlicia_petiolulata,shrub,0.95,0.65
Microlicia_hirticalyx,shrub,0.6,0.6
Microlicia_candolleana,shrub,0.75,1.25
Fritzschia_furnensis,shrub,0.75,0.65
Fritzschia_cordifolia,shrub,0.3,1.1
Microlicia_longirostrata,shrub,0.32,0.51
Sonerila_sulpheyi,herb,0.15,0.8
Tibouchina_sericea,shrub,1.35,0.62
Miconia_mazatecana,tree,3.5,1.05
Tibouchina_xochiatencana,shrub,1,0.43
Adelobotrys_latifolius,climber,8.5,1.6
Adelobotrys_microcarpus,climber,8,0.95
